statusCode,message,crypto_name,eVol24h,eVol30d,cVol24h,cVol30d,txCnt24h,txCnt30d,txFees24h,txFees30d,txFeesMean24h,cVolAdj24h,ret24h,retMTD,retQTD,retYTD,retY1,retY3,retY5,retSI,volat30d,low52w,high52w,splyCurr,splyTotal,splyMax,ath,ts,src,category,type,algorithm
200,OK,CKB,861543,38266670.0,,,,,,,,,0.001373,0.028999,-0.076167,0.173114,-0.277182,,,-0.20738,0.50045,0.002071,0.006919,33340636263.0312,,,0.043706,1695596217683.0,cd,,,
200,OK,CLV,3774776,100797769.0,,,,,,,,,0.002354,0.027648,-0.125753,-0.383977,-0.607232,,,-0.685824,0.524113,0.028888,0.141881,741993651.0,1000000000.0,,1.88,1695596217683.0,cd,,,
200,OK,FARM,4270187,29864907.0,,,,,,,,,0.034616,0.056167,-0.07684,-0.216725,-0.407103,,,-0.25649,0.407513,20.491144,70.679728,669870.624713,704900.06,704900.06,5078.47,1695596217683.0,cd,,,
200,OK,FLOW,7578844,570951556.0,,,,,,,,,-0.00438,0.026893,-0.169526,-0.308132,-0.734055,,,-0.713467,0.606848,0.392548,2.029039,1036200000.0,1456068361.18633,1456068361.18633,42.4,1695596217683.0,cd,,,
200,OK,GLMR,2649466,60100370.0,,,,,,,,,0.025548,-0.107086,-0.338745,-0.481462,-0.624854,,,-0.806376,0.448486,0.16036,0.57052,744650509.0,1085792026.0,,19.5,1695596217683.0,cd,,,
200,OK,IDEX,3792151,219748827.0,,,,,,,,,-0.027351,0.049615,-0.181435,0.327531,-0.238078,,,-0.126262,0.64315,0.03599,0.136634,766033377.568714,1000000000.0,1000000000.0,0.937763,1695596217683.0,cd,,,
200,OK,INJ,16686336,717929546.0,,,,,,,,,-0.007978,-0.006623,-0.131079,4.48284,3.2911,,,3.788364,0.454104,1.226142,9.943051,83755555.66,100000000.0,100000000.0,24.89,1695596217683.0,cd,,,
200,OK,JOE,4894065,530598799.0,,,,,,,,,0.0126,-0.253496,-0.373352,0.832561,0.108631,,,0.204112,1.404361,0.131783,0.717493,341459396.130234,476437634.356928,500000000.0,5.09,1695596217683.0,cd,,,
200,OK,MIR,213805,7072075.0,,,,,,,,,0.035813,-0.026324,-0.58434,-0.903509,-0.936278,,,-0.928604,0.556704,0.012407,1.608423,156055246.85708,370575000.0,370575000.0,12.9,1695596217683.0,cd,,,
200,OK,POLY,16841.61,1485775.97,,,14.0,439.0,,,,,-0.000825,-0.06124,-0.03352,-0.163209,-0.463363,,,-0.303545,0.54493,0.085035,0.344814,898550829.674589,1000000000.0,,1.59,1695596217683.0,cd,,,
200,OK,PYR,2430239,227036411.0,,,,,,,,,-0.014823,-0.11268,-0.020281,0.147324,-0.092125,,,-0.107418,0.933526,2.613373,5.199434,23897700.0,50000000.0,50000000.0,49.24,1695596217683.0,cd,,,
200,OK,RARE,591086,26332324.0,,,,,,,,,-0.024217,0.029606,-0.11723,-0.398428,-0.64578,,,-0.647027,0.496087,0.056105,0.1926,617569823.673,1000000000.0,1000000000.0,3.64,1695596217683.0,cd,,,
200,OK,RAY,2103251,52384066.0,,,,,,,,,0.019294,0.033081,-0.164522,0.251086,-0.695447,,,-0.750365,0.488352,0.133391,0.614349,231280598.308826,555000000.0,555000000.0,16.83,1695596217683.0,cd,,,
200,OK,ROSE,3972000,285613592.0,,,,,,,,,-0.007603,0.048863,-0.152394,0.224629,-0.315665,,,-0.180994,0.431323,0.033452,0.08497,5029357184.0,10000000000.0,10000000000.0,0.597347,1695596217683.0,cd,,,
200,OK,SFP,2112887,209514201.0,,,,,,,,,-0.050905,0.071703,0.197897,0.413478,0.565396,,,0.737506,0.729582,0.286798,0.811835,420833333.0,500000000.0,500000000.0,4.19,1695596217683.0,cd,,,
200,OK,SRM,1054892,35211062.0,,,50.0,1981.0,,,,,0.031758,-0.073632,-0.756502,-0.753949,-0.956199,,,-0.964749,0.756524,0.030848,0.878877,372782297.011929,1092844982.31,10161000000.0,13.78,1695596217683.0,cd,,,
200,OK,STMX,13551871,396330553.0,,,,,,,,,-0.093176,0.42252,0.745223,0.934683,-0.069574,,,0.081853,1.627854,0.003008,0.015432,11000000000.0,12500000000.0,12500000000.0,0.165032,1695596217683.0,cd,,,
200,OK,SUN,8001139,391340924.0,,,,,,,,,-0.00195,0.003109,-0.04636,0.027628,0.052106,,,-0.168936,0.252429,0.004642,0.009682,9606694722.0,19900730000.0,,66.45,1695596217683.0,cd,,,
200,OK,SXP,54748135,393195239.0,,,,,,,,,-0.00309,0.157189,-0.182908,0.458203,-0.16125,,,-0.199281,0.919638,0.195838,0.931224,578739556.225131,578738372.606693,,5.79,1695596217683.0,cd,,,
200,OK,VGX,2605759,247970943.0,,,,,,,,,-0.003987,0.073409,-0.167767,-0.588457,-0.805035,,,-0.792386,0.734462,0.087912,0.792056,293642055.162962,293642055.162962,,12.47,1695596217683.0,cd,,,
200,OK,WOO,3803024,284112725.0,,,,,,,,,-0.004311,-0.008157,-0.277795,0.391132,0.208483,,,0.131919,0.533349,0.10149,0.350225,1752598284.85254,2250658820.90186,2250658820.90186,1.78,1695596217683.0,cd,,,
200,OK,YGG,13387016,964627553.0,,,,,,,,,-0.031424,-0.161361,0.39135,0.280626,-0.454466,,,-0.487119,0.985884,0.116726,0.987073,185125000.0,1000000000.0,1000000000.0,11.17,1695596217683.0,cd,,,
200,OK,LUNC,28551008,520079381.0,,,,,,,,,0.0364,-0.002987,-0.289571,-0.572474,-0.729399,,,-0.999998,0.397598,5.4e-05,0.000364,5816507627234.6,6835243401922.54,,119.51374,1695596217683.0,cd,,,
200,OK,APT,244583641,1759514717.0,,,,,,,,,0.041513,-0.027088,-0.255738,0.559556,,,,-0.343913,0.400486,3.066883,178.499145,236788474.780789,1056810220.30126,,178.499145,1695596217683.0,cd,,,
200,OK,MASK,18422699,1026864727.0,,,,,,,,,-0.022774,0.009504,-0.235346,0.266767,,,,-0.416548,0.526542,1.019,7.209103,82112500.0,100000000.0,100000000.0,41.45,1695596217683.0,cd,,,
200,OK,DYDX,22834909,1509139193.0,,,,,,,,,0.002281,-0.150843,-0.076716,0.721622,,,,-0.083418,0.543032,1.012012,3.658355,175508226.584684,1000000000.0,1000000000.0,27.86,1695596217683.0,cd,,,
200,OK,CTSI,2922679,200505600.0,,,,,,,,,-0.00683,0.04606,-0.182023,0.219125,,,,0.174725,0.559184,0.095255,0.361631,734470844.025228,1000000000.0,1000000000.0,1.74,1695596217683.0,cd,,,
200,OK,CVX,5386758,99414972.0,,,,,,,,,0.026347,0.061961,-0.21581,-0.081482,,,,-0.25689,0.643871,2.305654,7.244476,80672050.801688,98944441.850119,100000000.0,60.09,1695596217683.0,cd,,,
200,OK,FORTH,1167243,302076858.0,,,,,,,,,-0.009222,0.149889,0.149154,-0.010693,,,,-0.038884,0.640341,2.079913,5.380389,9564986.519945,15297897.144559,15297897.144559,180.47,1695596217683.0,cd,,,
200,OK,LDO,10945085,828509549.0,,,,,,,,,-0.01113,-0.075852,-0.275111,0.560338,,,,0.351425,0.519177,0.875984,3.328208,889851752.40627,1000000000.0,1000000000.0,7.3,1695596217683.0,cd,,,
200,OK,METIS,1429343,43273131.0,,,,,,,,,0.012722,0.16593,-0.35394,-0.161032,,,,-0.256543,0.931215,10.340208,46.794425,4354321.352,5410000.51,10000000.0,323.54,1695596217683.0,cd,,,
200,OK,RBN,256162,8397788.0,,,,,,,,,-0.006739,-0.18513,-0.112789,-0.137367,,,,-0.332768,0.634366,0.100134,0.371446,793975455.551671,1000000000.0,1000000000.0,5.54,1695596217683.0,cd,,,
200,OK,SAMO,372905,7872729.0,,,,,,,,,0.002339,-0.046834,-0.24568,0.112246,,,,-0.110755,0.496954,0.002282,0.019192,3990788908.0,4746913623.21,4746913623.21,0.236987,1695596217683.0,cd,,,
